# GENERADO por 'pod.py glossary' desde game_POD_concepts. No editar: corrige el concepto o añade la entrada a glossary.tsv.
Effigy Hekau	Efigie Hekau	m	concepto del mod
Necromancy Hekau	Nigromancia Hekau	m	concepto del mod
Nomenclature Hekau	Nomenclatura Hekau	m	concepto del mod
Thrall	Esclavo	m	concepto del mod
Thralls	Esclavos	m	concepto del mod
Cultist	Cultista	m	concepto del mod
Cultists	Cultistas	m	concepto del mod
Dark Kingdom	Reino Oscuro	m	concepto del mod
Dark Kingdoms	Reinos Oscuros	m	concepto del mod
Shard Realm	Reino Astilla	m	concepto del mod
Shade Realm	Reino Sombra	m	concepto del mod
Oneiric Realm	Reino Onírico	m	concepto del mod
Oneiric Realms	Reinos Oníricos	m	concepto del mod
Heart's Realm	Reino del Corazón	m	concepto del mod
Heart's Realms	Reinos del Corazón	m	concepto del mod
Home Realm	Reino Hogar	m	concepto del mod
Home Realms	Reinos Hogar	m	concepto del mod
Nightmare Realm	Reino de Pesadilla	m	concepto del mod
Nightmare Realms	Reinos de Pesadilla	m	concepto del mod
Dream Realm	Reino de Sueño	m	concepto del mod
Dream Realms	Reinos de Sueño	m	concepto del mod
Stable Point	Punto Estable	m	concepto del mod
Stable Points	Puntos Estables	m	concepto del mod
Yang World	Mundo Yang	m	concepto del mod
Breed Gifts	Dones de Raza	m	concepto del mod
Lunar Auspice Gifts	Dones de Auspicio Lunar	m	concepto del mod
Solar Auspice Gifts	Dones de Auspicio Solar	m	concepto del mod
Common Gifts	Dones Comunes	m	concepto del mod
Tribal Gifts	Dones de Tribu	m	concepto del mod
Stream Gifts	Dones de Corriente	m	concepto del mod
Hengeyokai Gifts	Dones Hengeyokai	m	concepto del mod
Urge Taints	Manchas de Urge	m	concepto del mod
Fetter	Atadura	m	concepto del mod
Fetters	Ataduras	m	concepto del mod
Oblivion Pull	Atracción del Olvido	m	concepto del mod
Animals	Animales	m	concepto del mod
Constructs	Constructos	m	concepto del mod
Bygones	Reliquias	m	concepto del mod
Legends	Leyendas	m	concepto del mod
Illusionary	Ilusorios	m	concepto del mod
Demonic	Demoníacos	m	concepto del mod
Spirit	Espíritus	m	concepto del mod
Gargoyle	Gárgola	m	concepto del mod
Plasmic	Plásmico	m	concepto del mod
Wraith	wraith	m	concepto del mod
Vampire	Vampiro	m	concepto del mod
Faerie	Hada	m	concepto del mod
Animate Chimera	Quimera Animada	m	concepto del mod
Abomination	Abominación	m	concepto del mod
Grace	Gracia	m	concepto del mod
Bind Wraith Interaction	Interacción Vincular Wraith	m	concepto del mod
Command Wraith Interaction	Interacción Ordenar Wraith	m	concepto del mod
Wraith Summon on Death Interaction	Interacción Invocar Wraith en Muerte	m	concepto del mod
Dreamer	Soñador	m	concepto del mod
Mythic Age	Era Mítica	m	concepto del mod
Interregnum	Interregno	m	concepto del mod
Resurgence	Resurgimiento	m	concepto del mod
First Age	Primera Era	m	concepto del mod
Second Age	Segunda Era	m	concepto del mod
Third Age	Tercera Era	m	concepto del mod
Fourth Age	Cuarta Era	m	concepto del mod
Fifth Age	Quinta Era	m	concepto del mod
Sixth Age	Sexta Era	m	concepto del mod
Grand City	Gran Ciudad	m	concepto del mod
Grand Cities	Grandes Ciudades	m	concepto del mod
Eternal Rome	Roma Eterna	m	concepto del mod
St. Peter's City	Ciudad de San Pedro	m	concepto del mod
Roma Aeterna	Roma Eterna	m	concepto del mod
Journey	Viaje	m	concepto del mod
Journeys	Viajes	m	concepto del mod
Planning Phase	Fase de Planificación	m	concepto del mod
Travel Phase	Fase de Viaje	m	concepto del mod
Coterie	coterie	m	concepto del mod
Inner Circle	Círculo Interno	m	concepto del mod
Archon	Archón	m	concepto del mod
Ventrue Clan Curse	Maldición de Clan Ventrue	m	concepto del mod
Feeding Restrictions	Restricciones de Alimentación	m	concepto del mod
Blood Hunt	Cacería de Sangre	m	concepto del mod
Anathema	Anatema	m	concepto del mod
Patron Council	Consejo de Patronos	m	concepto del mod
Enlightenment	Iluminación	m	concepto del mod
Hungerless	Sin Hambre	m	concepto del mod
Spirit World	Mundo Espiritual	m	concepto del mod
Spirit Worlds	Mundos Espirituales	m	concepto del mod
Skinlands	Tierras de Piel	m	concepto del mod
Gaia Realm	Reino de Gaia	m	concepto del mod
Realm	Reino	m	concepto del mod
Unconquered Soul	Alma Inconquistada	m	concepto del mod
Umbra Expedition	Expedición a la Umbra	m	concepto del mod
Umbra Expeditions	Expediciones a la Umbra	m	concepto del mod
Umbra Aptitude	Aptitud de Umbra	m	concepto del mod
Umbra Sense	Sentido de la Umbra	m	concepto del mod
Roguelike Mode	Modo Roguelike	m	concepto del mod
Infiltration	Infiltración	m	concepto del mod
Infiltration Mission	Misión de Infiltración	m	concepto del mod
Infiltration Missions	Misiones de Infiltración	m	concepto del mod
Suspicion	Sospecha	m	concepto del mod
Defenses Against Mesmerize	Defensas Contra la Hipnosis	m	concepto del mod
Samuel Haight Mode	Modo Samuel Haight	m	concepto del mod
Storyteller Mode	Modo Narrador	m	concepto del mod
Loyalty	Lealtad	m	concepto del mod
Mental Strain	Tensión Mental	m	concepto del mod
Hungry Dead	Muertos Hambrientos	m	concepto del mod
Constantinople, the Fading Dream	Constantinopla, el Sueño que se Desvanece	m	concepto del mod
Plunder Route	Ruta del Saqueo	m	concepto del mod
Rebuilding Route	Ruta de la Reconstrucción	m	concepto del mod
Reformation Route	Ruta de la Reforma	m	concepto del mod
Blood Magic Spell	Hechizo de Sangre	m	concepto del mod
Spell	Hechizo	m	concepto del mod
Spells	Hechizos	m	concepto del mod
Blood Magic Tradition	Tradición de Hechicería de Sangre	m	concepto del mod
Tradition	Tradición	m	concepto del mod
Traditions	Tradiciones	m	concepto del mod
Blood Magic Path	Camino de Hechicería de Sangre	m	concepto del mod
Path	Camino	m	concepto del mod
Paths	Caminos	m	concepto del mod
Blood Magic Ritual	Ritual de Hechicería de Sangre	m	concepto del mod
Rituals	Rituales	m	concepto del mod
Curia Support	Apoyo de la Curia	m	concepto del mod
Forging Template	Plantilla de Forja	m	concepto del mod
Crafting Node	Nodo de Artesanía	m	concepto del mod
Crafting Nodes	Nodos de Artesanía	m	concepto del mod
Crafting Complexity	Complejidad de Artesanía	m	concepto del mod
Crafting Potential	Potencial de Artesanía	m	concepto del mod
Crafting Rerolls	Reintentos de Artesanía	m	concepto del mod
Enhance Potential	Potencial de Mejora	m	concepto del mod
Artifact Power	Poder del Artefacto	m	concepto del mod
Landless Mechanics	Mecánicas sin Tierras	m	concepto del mod
Ashen Ambassador	Embajador Ceniciento	m	concepto del mod
Ashen Grandmaster	Gran Maestre Ceniciento	m	concepto del mod
Ashen Caravan Master	Maestro de Caravanas Ceniciento	m	concepto del mod
Ashen Cult Master	Maestro de Culto Ceniciento	m	concepto del mod
Grand Paris	Gran París	m	concepto del mod
Cairo, the Victorious	El Cairo la Victoriosa	m	concepto del mod
Holy Jerusalem	Jerusalén Santa	m	concepto del mod
Christianity-Derived Faiths	Religiones Derivadas del Cristianismo	m	concepto del mod
Christianity-Derived Faith	Religión Derivada del Cristianismo	m	concepto del mod
Islam-Derived Faiths	Religiones Derivadas del Islam	m	concepto del mod
Judaism-Derived Faiths	Religiones Derivadas del Judaísmo	m	concepto del mod
Jerusalem Decisions	Decisiones de Jerusalén	m	concepto del mod
Homeland	Tierra Natal	m	concepto del mod
Tomb Raid	Saqueo de Tumba	m	concepto del mod
Tomb Raids	Saqueos de Tumbas	m	concepto del mod
Health Track	Seguimiento de Salud	m	concepto del mod
Damage	Daño	m	concepto del mod
Superficial Damage	Daño Superficial	m	concepto del mod
Aggravated Damage	Daño Agravado	m	concepto del mod
Soak	Absorber	m	concepto del mod
Soak Chance	Probabilidad de Absorber	m	concepto del mod
Fetish	Fetiche	m	concepto del mod
Fetishes	Fetiches	m	concepto del mod
Spirit Companion	Compañero Espíritu	m	concepto del mod
Spirit Companions	Compañeros Espíritu	m	concepto del mod
Companion	Compañero	m	concepto del mod
Spirit Pact	Pacto Espiritual	m	concepto del mod
Spirit Pacts	Pactos Espirituales	m	concepto del mod
Spirit Language	Lenguaje Espiritual	m	concepto del mod
Ancestral Tongue	Lengua Ancestral	m	concepto del mod
Ancestor Spirit	Espíritu Ancestral	m	concepto del mod
Ancestor Spirits	Espíritus Ancestrales	m	concepto del mod
Innocent	Inocente	m	concepto del mod
Innocents	Inocentes	m	concepto del mod
Tormentor	Atormentador	m	concepto del mod
Tormentors	Atormentadores	m	concepto del mod
Diabolism	Diabolismo	m	concepto del mod
Diabolist	Diabolista	m	concepto del mod
Bind	Vincular	m	concepto del mod
Bound	Vinculado	m	concepto del mod
Sabotage	Sabotaje	m	concepto del mod
Thralldom	Esclavitud	m	concepto del mod
Pact	Pacto	m	concepto del mod
Obligation	Obligación	m	concepto del mod
Frequency	Frecuencia	m	concepto del mod
The Fine Print	La Letra Pequeña	m	concepto del mod
Pacts	Pactos	m	concepto del mod
Banish	Desterrar	m	concepto del mod
Weaken Demon	Debilitar Demonio	m	concepto del mod
Vitae Dependency	Dependencia de Vitae	m	concepto del mod
Discipline Limitations	Limitaciones de Disciplina	m	concepto del mod
Bound Ghoul	Ghoul Vinculado	m	concepto del mod
Bound Ghouls	Ghouls Vinculados	m	concepto del mod
Mission	Misión	m	concepto del mod
Missions	Misiones	m	concepto del mod
Breaking the Blood Bond	Rompiendo el Vínculo de Sangre	m	concepto del mod
Masterless Ghoul	Ghoul Sin Amo	m	concepto del mod
Masterless Ghouls	Ghouls Sin Amo	m	concepto del mod
Drinking from Imprisoned Vampires	Beber de Vampiros Encarcelados	m	concepto del mod
Pack Totem	Tótem de Manada	m	concepto del mod
Possession	Posesión	m	concepto del mod
Possess	Poseer	m	concepto del mod
Wyrm Taint	Marca del Wyrm	m	concepto del mod
Balefire	Fuego Infernal	m	concepto del mod
Balefires	Fuegos Infernales	m	concepto del mod
Fleshcraft	Esculpir Carne	m	concepto del mod
