# GENERADO por 'python tools/extract_glossaries.py' desde los glosarios oficiales en PDF.
# No editar a mano: lo que haya que corregir o fijar va en glossary.tsv, que tiene prioridad.
# Columnas: inglés	español	marcas (b = glosario oficial de un libro)	libro	usos en el mod
Crone	Arpía	b	H20	36
Hive	Colmena	b	H20	36
Pegasus	Pegaso	b	H20	36
howl	aullido	b	H20	35
Seeker	Buscador	b	VEO20	35
Dark Passion	Pasión Oscura	b	W20	34
Black Spiral Dancers	Danzantes de la Espiral Negra	b	H20	33
Bygone	Pretérito	b	C20	33
magick	Magia	b	M20	33
Harbinger	Heraldo	b	C20	32
infernalism	Infernalismo	b	V20	32
Theurgist	teúrgo	b	V20	32
The Black Spiral	La Espiral Negra	b	H5	31
conclave	cónclave	b	M20	30
Harbingers	Heraldos	b	H20	30
House Tremere	Casa Tremere	b	V20	30
keening	lamento	b	H20	30
Muse	Musa	b	C20	30
voivode	Voivoda	b	V20	30
Watchers	Vigilantes	b	M20	30
Delirium	Delirio	b	H20	29
Embody	Encarnar	b	W20	29
Eternal Senate	Senado Eterno	b	VEO20	29
pawn	peón	b	M20	29
Seer	Vidente	b	H20	29
Shadow Reconquista	Reconquista en la Sombra	b	V20	29
Dreamers	Soñadores	b	C20	28
Menele	Menelao	b	V20	28
Pharaoh	Faraón	b	VEO20	28
Red List	Lista Roja	b	V20	28
Wan Kuei	Wan Kuei​	b	V20	28
Azhi Dahaka	Azhi Dahaka	b	H20	27
Inquisitive	Inquisitivo	b	Cazador	27
Paradox	Paradoja	b	M20	27
Perception	Percepción	b	C20	27
Theurgy	Teúrgia	b	V20	27
Bone Gnawers	Roehuesos	b	H20	26
Instinct	Instinto	b	V20	26
Oracle	Oráculo	b	C20	26
Rogue	Pícaro	b	C20	26
Albigensian	Albigense	b	V20	25
Artemis	Artemisa	b	V20	25
Courts of Love	Cortes del Amor	b	V20	25
Decadent	Decadente	b	VEO20	25
Melpominee	Melpómene	b	V20	25
Prodigal	Pródigo	b	C20	25
Red Talons	Garras Rojas	b	H20	25
Second Breath	Segundo Aliento	b	H20	25
Sphere	Esfera	b	M20	25
Templar	Templario	b	V20	25
Angelic	Angélico	b	W20	24
Enigmatic	Enigmático	b	VEO20	24
Fascinate	Fascinación	b	W20	24
Mentors	Mentores	b	W20	24
Sliver	Espina	b	C20	24
Watcher	Vigilante	b	C20	24
Invention	Invención	b	M20	23
Machine	Máquina	b	M20	23
Raven	Cuervo	b	H20	23
Sea of Shadows	Mar de Sombras	b	VEO20	23
Sleeper	Durmiente	b	M20	23
aggravated	agravado	b	C20	22
Autumn world	Mundo de Otoño	b	C20	22
cold iron	hierro frío	b	C20	22
Dark Father	Padre Oscuro	b	H20	22
Gaian	gaiano	b	H20	22
House Balor	Casa Balor	b	C20	22
Julia Antasia	Julia Antasia	b	V20	22
Leech	Sanguijuela	b	H20	22
Martyr	Mártir	b	H20	22
Underbridge	Bajopuente	b	C20	22
Brand	Marca	b	C20	21
cabal	cábala	b	M20	21
Chronos	Cronos	b	C20	21
Dracula	Drácula	b	V20	21
Fanatic	Fanático	b	H20	21
Ferocity	Ferocidad	b	H20	21
Inhabit	Habitar	b	W20	21
Intimation	Insinuación	b	W20	21
Legerdemain	Prestidigitación	b	C20	21
Maker	Creador	b	C20	21
Sielanic Thaumaturgy	Taumaturgia Sielánica	b	V20	21
Stasis	Estasis	b	M20	21
Thin Blood	Sangre Débil	b	V20	21
Transcendence	Transcendencia	b	W20	21
Tuatha de Danaan	Tuatha de Danaan	b	C20	21
Charon	Caronte	b	W20	20
Consul	Cónsul	b	V20	20
Contrary	Terco	b	H20	20
Druid	Druida	b	V20	20
Earthbound	Encadenado	b	V20	20
Glade	Claro	b	C20	20
Legate	Legado	b	V20	20
Oneiromancy	Oniromancia	b	C20	20
Puppetry	Títeres	b	W20	20
Renewal	Renovación	b	H20	20
Amici Noctis	Amici Noctis	b	V20	19
Castigate	Castigar	b	W20	19
Entropy	Entropía	b	M20	19
Oracles	Oráculos	b	W20	19
Ordo	Ordo, pl. Ordines	b	VEO20	19
Renegade	Renegado	b	W20	19
Soothsay	Adivinación	b	C20	19
Weather Control	Control del Clima	b	V20	19
Chicanery	Embustes	b	C20	18
Convent	Convento	b	V20	18
Device	Dispositivo	b	M20	18
Homid	Homínido	b	H20	18
Lantern	Linterna	b	H20	18
Metamorphosist	Metamorfosista	b	V20	18
Node	Nodo	b	M20	18
wallow	Cenagal	b	H20	18
Warder	Protector	b	H20	18
Wu Tan	Wu Tan	b	C20	18
Artemis Orthia	Artemis Orthia	b	VEO20	17
Behest	Instancia	b	W20	17
Caul	Placenta	b	M20	17
ephemera	efimeria	b	C20	17
Infusion	Infusión	b	C20	17
Litany	Letanía, la	b	H5	17
Moliate	Moliar	b	W20	17
Phantasm	Fantasma	b	W20	17
Pyretics	Piréticas	b	C20	17
Spiders	Arañas	b	W20	17
Succor	Socorro	b	H20	17
Traditionalist	Tradicionalista	b	C20	17
Wan Xian	Wan Xian	b	C20	17
War of Rage	Guerra de la Rabia	b	H20	17
Wayfare	Viaje	b	C20	17
Wild Hunt	Caza Salvaje	b	V20	17
Adversary	Adversario	b	VEO20	16
Council of Seven	Consejo de los Siete	b	VEO20	16
crippled	Tullido	b	C20	16
Great Fenris	Gran Fenris	b	H20	16
Harrowing	Tormento	b	W20	16
Ivan	Iván	b	C20	16
New Generation	Nueva Generación	b	C20	16
Promethean	Prometeo	b	V20	16
Quintessence	Quintaesencia	b	C20	16
Shark	Tiburón	b	C20	16
Undoing	Deshacer	b	C20	16
Usury	Usura	b	W20	16
Yang Chi	Chi Yang	b	C20	16
apotheosis	Apoteosis	b	V20	15
Augustus Giovanni	Augustus Giovanni	b	V20	15
Catharsis	Catarsis	b	W20	15
Conscience	Conciencia	b	V20	15
domitor	Domitor, pl. Domitores	b	V20	15
Emerald Mother	Madre Esmeralda	b	H20	15
High Priest	Alto Sacerdote	b	V20	15
instrument	instrumento	b	M20	15
Malachite	Malaquita	b	V20	15
Nikita of Sredetz	Nikita de Sredetz	b	VEO20	15
Outcast	Paria	b	C20	15
Penitent	Penitente	b	H20	15
Prop	Objeto	b	C20	15
Vitality	Vitalidad	b	W20	15
Warders of Men	Protectores del Hombre	b	H20	15
White Howlers	Aulladores Blancos	b	H20	15
Brute	Bruto	b	C20	14
Doll	Muñeca	b	C20	14
Empathy	Empatía	b	C20	14
Enforcer	Ejecutor (Rango de los Ingenieros del Vacío)	b	M20	14
Fatalism	Fatalismo	b	W20	14
Hermetic	Hermético	b	M20	14
Hierophant	Hierofante	b	V20	14
Historian	Historiador	b	H20	14
Hive Mind	Mente Colmena	b	W20	14
Last Hope	Última Esperanza	b	H20	14
Legionnaire	Legionario	b	W20	14
Mediator	Mediador	b	H20	14
Midnight Sun	Sol de Medianoche	b	H20	14
Nei Tan	Nei Tan	b	C20	14
Vulture	Buitre	b	V20	14
Warding	Vigilante	b	H20	14
Baali Wars	Guerras Baali	b	V20	13
Blight	Plaga	b	H20	13
Breaker	Quebrantador	b	H20	13
Chapter House	Casa Capitular	b	V20	13
Dolls	Muñecas	b	V20	13
Glen	Cañada	b	C20	13
Great Maelstrom	Gran Maelstrom	b	W20	13
Imbalance	Desequilibrio	b	C20	13
Lifeweb	Red Vital	b	W20	13
Noble House	Casa Noble	b	C20	13
Outlaw	Proscrito	b	C20	13
Past Lives	Vidas Pasadas	b	M20	13
Shadowed	Ensombrecidos	b	V20	13
True Jade	Jade Verdadero	b	C20	13
Typhon	Tifón	b	V20	13
Week of Nightmares	Semana de las Pesadillas	b	V20	13
White Jade	jade blanco	b	W20	13
Yin Chi	Chi Yin	b	C20	13
Alexander of Paris	Alexander de París	b	VEO20	12
backlash	contragolpe	b	M20	12
clone	clon	b	M20	12
dragon line	Línea de Dragón	b	C20	12
Fated	Predestinado	b	W20	12
Infamy	Infamia	b	H20	12
Karl Schrekt	Karl Schrekt	b	V20	12
Necropolis	Necrópolis	b	W20	12
plasm	Plasma	b	W20	12
Puppeteer	Titiritero	b	VEO20	12
Riverside	Ribera	b	W20	12
Scar	Cicatriz, la	b	H20	12
Spook	aparición (terminología de Orpheus)	b	W20	12
Thorpe	Aldea	b	C20	12
Ushabti	Ushabti​	b	V20	12
Via Peccati	Via Peccati	b	VEO20	12
Warlock	Brujo	b	C20	12
wizard	mago	b	C20	12
Wu Zao	Wu Zao	b	V20	12
Anarch Movement	Movimiento Anarquista	b	V20	11
Anchor	Ancla	b	C20	11
Christof Romuald	Christof Romuald	b	V20	11
Counselor	Consejero	b	W20	11
crucible	crisol	b	W20	11
Cult of Isis	Culto de Isis	b	V20	11
Cybele	Cibeles	b	V20	11
demonologist	demonólogo	b	V20	11
Disciples of Anubis	Discípulos de Anubis	b	V20	11
Ferryman	Barquero	b	W20	11
founding temple	templo fundacional	b	V20	11
Gnosticism	gnosticismo	b	M20	11
Hedge Magic	Magia Estática	b	V20	11
House Gwydion	Casa Gwydion	b	C20	11
Leeches	Sanguijuelas	b	W20	11
Molochim	Molochim​	b	V20	11
Mukhtar Bey	Mukhtar Bey	b	V20	11
Pandemonium	Pandemónium	b	W20	11
Serpentine	Serpentino	b	H20	11
Stealth	Sigilo	b	C20	11
Tithe	Diezmo	b	W20	11
Via Caeli	Via Caeli	b	VEO20	11
Albion	Albión	b	C20	10
Alpha	Alfa	b	C20	10
Ambrogino Giovanni	Ambrogino Giovanni	b	V20	10
Arcadian	Arcadiano	b	C20	10
Backup	Refuerzos	b	M20	10
Butterfly	mariposa	b	V20	10
chameleon	camaleón	b	V20	10
Clanless	sin Clan	b	V20	10
Contaminate	Contaminar	b	W20	10
Deceiver	Embustero	b	V20	10
Di Tan	Di Tan	b	C20	10
Dictum Mortuum	Dictum Mortuum	b	W20	10
Gorgon	Gorgona	b	H20	10
High King	Alto Rey	b	C20	10
House Dougal	Casa Dougal	b	C20	10
Isouda de Blaise	Isouda de Blaise	b	VEO20	10
Malfean	malfeano	b	H20	10
Manus Nigrum	Manus Nigrum	b	V20	10
Musing	Inspiración	b	C20	10
paradigm	paradigma	b	M20	10
regnant	reinante	b	V20	10
Sernog Monastery	Monasterio de Sernog	b	V20	10
Shui Tan	Shui Tan	b	C20	10
Stamina	Resistencia	b	C20	10
Status Quo	Status Quo	b	V20	10
Swimming	Natación	b	M20	10
Sword of Nul	Espada de Nul	b	V20	10
Via Regalis	Via Regalis	b	VEO20	10
Vlad Tepes	Vlad Tepes	b	V20	10
Zone	zona	b	M20	10
Base of Operations	Base de Operaciones	b	V20	9
Calderon	Calderón	b	V20	9
Celestine	Celeste	b	H20	9
cradle	cuna	b	W20	9
Dagon	Dagón	b	C20	9
Dragon Kings	Reyes Dragón	b	H20	9
Emissaries	Emisarios	b	M20	9
Erebus	Érebo	b	H20	9
Eye of Hazimel	Ojo de Hazimel	b	V20	9
Gentry	burgués	b	V20	9
Graverobber	Ladrón de Tumbas	b	V20	9
Hou Tan	Hou Tan	b	C20	9
I Chih	I Chih	b	C20	9
Lin Tan	Lin Tan	b	C20	9
Martial Arts	Artes Marciales	b	M20	9
Mla Watu	Mla Watu	b	V20	9
Morphean Oracles	Oráculos Morfeanos	b	C20	9
Near Realms	Reinos Próximos	b	H20	9
Older Brother	Hermano Mayor	b	H20	9
Reaper	Segador	b	W20	9
Sentinel	Centinela	b	M20	9
Singer	Cantante	b	M20	9
step sideways	caminar de lado	b	C20	9
Tieh Tan	Tieh Tan	b	C20	9
Turtle	Tortuga	b	H20	9
Age of Legends	Edad de las Leyendas	b	C20	8
Artificers	Artesanos	b	W20	8
Aspirant	Aspirante	b	M20	8
bruised	Magullado	b	C20	8
Centurion	Centurión	b	W20	8
Cerberus	Cerbero	b	H20	8
Chamberlain	Chambelán	b	VEO20	8
Cockroach	Cucaracha	b	H20	8
Displace	Desplazar	b	W20	8
Doomsday	Día del Juicio	b	W20	8
Drone	Dron	b	H20	8
Ephor	Éforo	b	V20	8
Gaunt	Descarnado	b	W20	8
Ghille Dhu	Ghille Dhu	b	C20	8
Horizon Realm	Reino del Horizonte	b	M20	8
Hyena	hiena / Hiena	b	H20	8
Li Shen	Li Shen	b	C20	8
Maeljin Incarna	Incarna Maeljin	b	H20	8
Nameless	Sin Nombre	b	H5	8
Pontifex	Pontífice	b	V20	8
praetor	Pretor	b	V20	8
Praetorian	Pretoriano	b	VEO20	8
Puppeteers	Titiriteros	b	V20	8
Red Sky	Cielo Rojo	b	VEO20	8
Rising Sun	Sol Naciente	b	H20	8
Treaty of Tyre	Tratado de Tiro	b	V20	8
Visionary	Visionario	b	H20	8
War of Shame	Guerra de la Vergüenza	b	H20	8
Wepauwet	Wepauwet​	b	H20	8
Wight	guéber	b	V20	8
Yama Kings	Reyes Yama	b	C20	8
Abbey of the Sacred Crown	Abadía de la Santa Corona	b	V20	7
Bashirite	Bashirita	b	VEO20	7
Cathayan	Catayano	b	V20	7
Centipede	Ciempiés	b	H20	7
Cleverness	Inventiva	b	H20	7
College	Escuela	b	V20	7
Crimson Curia	Curia Carmesí	b	VEO20	7
Dark Lord	Señor Oscuro	b	H20	7
Demesne	Heredad	b	M20	7
Denizen	Morador	b	C20	7
dross	Barcia	b	C20	7
Fiefs of the Black Cross	Feudos de la Cruz Negra	b	V20	7
Hellhole	Cloaca	b	H20	7
Hibernation	Hibernación	b	H20	7
House Aesin	Casa Aesin	b	C20	7
House Ailil	Casa Ailil	b	C20	7
Koldunism	Koldunismo	b	VEO20	7
Lucille	Lucille​	b	V20	7
Marcus Verus	Marcus Verus​	b	V20	7
Mirror Zone	Zona Espejo	b	M20	7
Monitors	Monitores	b	W20	7
motley	cuadrilla	b	C20	7
Ordo Aenigmatis	Ordo Aenigmatis	b	VEO20	7
Pangaea	Pangea	b	H20	7
Pasiphae	Pasífae	b	W20	7
Rapture	Éxtasis	b	C20	7
Ravaging	Saqueo	b	C20	7
Rayzeel	Rayzeel​	b	V20	7
Reaving	Expolio	b	C20	7
Rhapsody	Rapsodia	b	C20	7
Satyr	Sátiro	b	C20	7
Satyrs	Sátiros	b	C20	7
Setting Sun	Sol Poniente	b	H20	7
Silver Tongue	Lengua de Plata	b	H20	7
Sphinx	Esfinge	b	H20	7
Spooks	Furias	b	W20	7
Tao Te Hsien	Tao Te Hsien	b	C20	7
Technology	Tecnología	b	C20	7
Thrax	Tracia	b	VEO20	7
Vladimir Rustovich	Vladimir Rustovich	b	VEO20	7
War of Princes	Guerra de los Príncipes	b	VEO20	7
Wild Portal	Portal Salvaje	b	C20	7
Amphion	Anfión	b	V20	6
Atonement	Expiación	b	Cazador	6
Baronies of Avalon	Baronías de Ávalon	b	VEO20	6
boyar	boyardo	b	V20	6
Bravo	Bravucón	b	H20	6
Castle of Shadows	Castillo de las Sombras	b	VEO20	6
common art	Arte común	b	W20	6
Cretheus	Creteo	b	V20	6
Dreamtime	Tiempo del Sueño	b	H20	6
Enfolded	Envuelto	b	H20	6
fair folk	Buena Gente	b	V20	6
Firebird	Pájaro de Fuego	b	H20	6
Grand Inquisitor	Gran Inquisidor	b	Cazador	6
Grandfather Thunder	Abuelo Trueno	b	H20	6
Haunters	Trasgos	b	W20	6
Homestead	Colonia	b	C20	6
Idealist	Idealista	b	H20	6
Knights of Avalon	Caballeros de Ávalon	b	V20	6
Lament	Lamento	b	W20	6
Lord of Misrule	Señor del Desgobierno	b	VEO20	6
Marauder	Merodeador	b	H20	6
Masquers	Máscaras	b	W20	6
Melinda Galbraith	Melinda Galbraith	b	V20	6
Minotaur	Minotauro	b	H20	6
moot	consejo	b	H20	6
Mother Goddess	Diosa Madre	b	H20	6
Mother of Monsters	Madre de Monstruos	b	V20	6
Nexus Crawler	Vagabundo de los Nexos	b	H20	6
Noonday Sun	Sol de Mediodía	b	H20	6
Novice	Novicio	b	V20	6
Patrician	Patricio	b	VEO20	6
Phaedymite	Phaedymita	b	VEO20	6
Restless Dead	Muertos Sin Reposo	b	M20	6
Samuel Haight	Samuel Haight	b	H20	6
Sandmen	Soñadores	b	W20	6
Seraph	Serafín	b	V20	6
Siklos	Siklos​	b	W20	6
soulforging	forja de almas	b	W20	6
Spires	Chapiteles	b	M20	6
Sybarite	Sibarita	b	VEO20	6
Troubadour	Trovador	b	C20	6
Unbroken	No Rotos	b	M20	6
Via Bestiae	Via Bestiae	b	VEO20	6
Vortex	Vórtice	b	H20	6
Wolfhome	Lobera, la	b	H20	6
Xian Mo	Xian Mo	b	C20	6
Younger brother	Hermano Menor	b	H20	6
Aeons	Eones	b	V20	5
Alleycat	gato callejero	b	V20	5
Angellis Ater	Angellis Ater	b	V20	5
Animal Psi	Psi Animal	b	V20	5
Aurochs	Uro	b	H20	5
Banshee	Banshee​	b	V20	5
Bedlam	Confusión	b	C20	5
Bright Kings	Reyes Brillantes	b	H20	5
Chanteurs	Juglares	b	W20	5
Claudius Giovanni	Claudius Giovanni	b	V20	5
compact	convenio	b	V20	5
Composure	Compostura	b	Cazador	5
Corrupter	Corruptor	b	V20	5
corvid	Córvido	b	H20	5
Council of Ashes	Consejo de Cenizas	b	VEO20	5
Daggers of Nut	Dagas de Nut	b	H20	5
Dastur Anosh	Dastur Anosh	b	V20	5
Deacon	Diácono	b	M20	5
Decorated Sun	Sol Decorado	b	H20	5
Devourer	Devorador	b	C20	5
Dexterity	Destreza	b	C20	5
Drinkers	Bebedores	b	V20	5
Empire of Stones	Imperio de las Piedras	b	C20	5
Endless Winter	Invierno Sin Fin	b	C20	5
enhancement	mejora	b	M20	5
Feast of Folly	Festín de la Locura	b	V20	5
Firebrand	Fogonero	b	C20	5
Fomorian	Fomoriano	b	C20	5
Footpad	Almohadilla	b	Cazador	5
Francois Villon	François Villon	b	V20	5
Gatekeeper	Guardián de la Puerta	b	C20	5
Glome	Glomio	b	C20	5
Glomes	Glomios	b	C20	5
Gratiano de Veronese	Gratiano de Veronese	b	V20	5
Grotto	Gruta	b	C20	5
House Scathach	Casa Scathach	b	C20	5
Incunabulum Kupalam	Incunabulum Kupalam	b	V20	5
jackal	chacal	b	W20	5
Kucha Ekundu	Kucha Ekundu	b	H20	5
Kura Sau	Kura Sau	b	C20	5
Larceny	Latrocinio	b	C20	5
Mana	Maná	b	C20	5
Mu Courts	Cortes Mu	b	C20	5
Neverborn	Nuncanacido	b	V20	5
Oathbreaker	Rompejuramentos	b	C20	5
Ondine	Ondina	b	C20	5
Onyx Tower	Torre de Ónice	b	W20	5
Paladin	Paladín	b	C20	5
Pardoners	Perdonadores	b	W20	5
Paths of Enlightenment	Sendas de Iluminación	b	V20	5
Phuri Dae	Phuri Dae	b	VEO20	5
Pragmatist	Pragmático	b	W20	5
Proctors	Vigilantes	b	W20	5
River Styx	río Estigia	b	W20	5
Sanbenito	Sambenito	b	V20	5
Seat of Dust	Trono de Polvo	b	W20	5
Seelie Legacy	Legado Luminoso	b	C20	5
Serendipity	Serendipia	b	W20	5
Severance	Separación	b	W20	5
Shroud Rending	Rasgar el Manto	b	W20	5
Shu Shen	Shu Shen	b	C20	5
Silver Folk	Pueblo de Plata	b	H20	5
Solimond	Solimondio	b	C20	5
Stygian steel	acero estigio	b	W20	5
Succubus	Súcubo	b	C20	5
Summer Country	País del Verano, el	b	H20	5
Suspire	Suspiro, el	b	V20	5
tracker	registro	b	Cazador	5
Triat	Tríada	b	H5	5
Tu Shen	Tu Shen	b	C20	5
Tuath of Chronos	Tuath de Cronos	b	C20	5
Unseelie Legacy	Legado Oscuro	b	C20	5
Via Ossium	Via Ossium	b	VEO20	5
Wayfarer	Viajero	b	C20	5
Wu Hsien	Wu Hsien	b	C20	5
Xavier de Cincao	Xavier de Cincao	b	V20	5
Xian Mun	Xian Mun	b	C20	5
Age of Kings	Edad de los Reyes	b	H20	4
Aimeric de Cabaret	Aimeric de Cabaret	b	V20	4
Alexandrite	Alejandrita	b	VEO20	4
Amazons of Diana	Amazonas de Diana	b	H20	4
Anacreon	Anacreonte	b	W20	4
Ankla Hotep	Ankla Hotep	b	V20	4
anomaly	anomalía	b	W20	4
Ashen Lady	Dama Pálida	b	W20	4
Astral Reaches	Límites Astrales	b	M20	4
Basilisk	Basilisco	b	H20	4
Bay't Mushakis	Bay't Mushakis	b	V20	4
Beast Within	Bestia Interior	b	H20	4
Blighted Insight	Perspicacia Corrupta  Madrugada	b	W20	4
Bon Bhat	Bon Bhat	b	H20	4
Bringers of Light	Portadores de Luz	b	H20	4
Celebrant	Celebrante	b	H20	4
Changing Breed	Raza Cambiante	b	H20	4
Children of Lilith	Hijos de Lilith	b	V20	4
Chu Jung	Chu Jung	b	C20	4
Conspiracy of Isaac	Conspiración de Isaac	b	V20	4
Cycle of Lilith	Ciclo de Lilith	b	V20	4
Dark Kingdom of Jade	Reino Oscuro de Jade	b	W20	4
Deathsight	Visión de Muerte	b	W20	4
Doomslayer	Cazasombras	b	W20	4
Eclipsed Sun	Sol Eclipsado	b	H20	4
Emain Macha	Emain Macha	b	C20	4
Empire of Flames	Imperio de las Llamas	b	C20	4
False Life	Falsa Vida	b	W20	4
Fellowship of Our Lady	Hermandad de Nuestra Señora	b	VEO20	4
Fisher	Pescador	b	W20	4
foreman	Capataz	b	V20	4
Freebooters	Filibusteras	b	H20	4
Granite	Granito	b	C20	4
Guilelmo Aliprando	Guilelmo Aliprando	b	VEO20	4
Gustav Breidenstein	Gustav Breidenstein	b	V20	4
Hardestadt the Elder	Hardestadt el Viejo	b	V20	4
Hardestadt the Younger	Hardestadt el Joven	b	V20	4
Harold Zettler	Harold Zettler	b	H20	4
House Eiluned	Casa Eiluned	b	C20	4
House Varich	Casa Varich	b	C20	4
Ilias	Ilias​	b	V20	4
Impaired	Impedido	b	H5	4
Infiltrator	Infiltrador	b	W20	4
Isle of Dreams	Isla de los Sueños	b	C20	4
Ivory Priesthood	Sacerdocio de Marfil	b	H20	4
Laodice	Laódice	b	V20	4
Maleficence	Maleficencia	b	W20	4
Mary the Black	María la Negra	b	V20	4
Massasa War	Guerra Massasa	b	M20	4
Media	Medios de Comunicación	b	M20	4
Michael the Patriarch	Miguel el Patriarca	b	V20	4
Michaelite	Miguelino	b	VEO20	4
Moment of Truth	Momento de la Verdad	b	VEO20	4
Myca Vykos	Myca Vykos	b	VEO20	4
Old Guard	Vieja Guardia	b	W20	4
Omen War	Guerra del Presagio	b	V20	4
Onceborn	Alumbrados	b	W20	4
Ondines	Ondinas	b	C20	4
Ordo Ecstasis	Ordo Ecstasis	b	VEO20	4
Panther	Pantera	b	H20	4
Paroseme	Parosimia	b	C20	4
Parosemes	Parosimias	b	C20	4
Reverie	Ensoñación	b	C20	4
Saining	Bautizo	b	C20	4
Saracen	Sarraceno	b	VEO20	4
Sascha Vykos	Sascha Vykos	b	V20	4
Seat of Burning Waters	Trono de las Aguas Ardientes	b	W20	4
Seat of Fate	Trono del Destino	b	W20	4
Seat of Golden Tears	Trono de las Lágrimas de Oro	b	W20	4
Seat of Shadows	Trono de las Sombras	b	W20	4
Seat of Silence	Trono del Silencio	b	W20	4
Seat of Succor	Trono del Auxilio	b	W20	4
Setite Sorcery	Hechicería Setita	b	V20	4
Shaper	Cambiante	b	VEO20	4
Shrouded Sun	Sol Velado	b	H20	4
Skepticism	Escepticismo	b	H20	4
Smiling Jack	Smiling Jack	b	V20	4
Solimonds	Solimondios	b	C20	4
Spinners	Hilanderos	b	W20	4
Spirit Wilds	Tierras Salvajes Espirituales	b	H5	4
Subtle Influence	Influencia Sutil	b	M20	4
Tellurian	Teluria	b	H20	4
Telyavelic Tremere	Tremere Telyavos	b	V20	4
Tempest Weaving	Tejer la Tempestad	b	W20	4
Tempter	Tentador	b	VEO20	4
The Cenotaph Path	Senda del Cenotafio	b	V20	4
True Black Hand	Verdadera Mano Negra	b	V20	4
True Heart	Corazón Fiel	b	C20	4
Umbrood	Umbrole	b	M20	4
Vinculum	Vinculum, pl. Vinculi	b	V20	4
Wasp	Avispa	b	H20	4
Whippoorwill	Chotacabras	b	H20	4
Yin World	Mundo Yin	b	H20	4
Young One	Joven	b	VEO20	4
Ahmed ibn Zayyat	Ahmed ibn Zayyat	b	V20	3
Akashic	Akáshico	b	M20	3
Ard Righ	Ard Righ	b	H20	3
August Personage of Jade	Augusto Personaje de Jade	b	C20	3
Bane Mummy	momia Perdición	b	VEO20	3
Bjorn Garinson	Bjorn Garinson	b	V20	3
Celestial Master	Maestro Celestial	b	M20	3
Chains of the Emperor	Cadenas del Emperador	b	W20	3
Children of Damballah	Hjos de Damballah	b	V20	3
Children of Loki	Hijos de Loki	b	V20	3
